FILIAL;CODIGO;NCM;DESCRICAO;PRECO;UND
08.393.837/0001-50;607;25059000;GESSO E/ AGRANEL EM PÓ SÃO JOSE;1;KG
08.393.837/0001-50;1200;25041000;GRAFITE EM PO GARRA 15G;4;UND
08.393.837/0001-50;696;73170020;GRAMPO DE MURO;4.8;KG
08.393.837/0001-50;1417;83024100;GRAMPO RCL;5;KG
08.393.837/0001-50;1526;73259990;GRELHA QUADRADA;15;UND
08.393.837/0001-50;1424;73269090;HASTE PARA ATERRAMENTO;13.5;UND
08.393.837/0001-50;742;85365090;INTERROPITOR EXT ILUMI;3.5;UND
08.393.837/0001-50;1164;85366990;INTERRUPITOR +TOMADA LUX2 TRAM.;9.5;UND
08.393.837/0001-50;1162;85362000;INTERRUPITOR DUPLO LUX 2  TRAM.;10.5;UND
08.393.837/0001-50;1156;35061090;INTERRUPITOR SIMPLES LIZAFLEX TRAM.;8;UND
08.393.837/0001-50;464;85362000;INTERRUPTOR DUPLO SIMPLES 10A LUX ;9.5;UND
08.393.837/0001-50;371;35061090;INTERRUPTOR SIMPLES DE 10A LIZFLEX ;9.5;UND
08.393.837/0001-50;1165;85362000;INTERRUPTOR SIMPLES LUX2 TRAM.;7.5;UND
08.393.837/0001-50;724;48181000;JANELÃO D/1,20M ;120;UND
08.393.837/0001-50;700;39174090;JOELHO 100MM KRONA ESGOTO ;4;UND
08.393.837/0001-50;1388;39174090;JOELHO 45 ESGOTO PRI. DN 50 KRONA;3;UND
08.393.837/0001-50;1390;39174090;JOELHO 45 ESGOTO PRIM. DN 100 KRONA;6;UND
08.393.837/0001-50;1389;39174090;JOELHO 45 ESGOTO PRIM. DN 75 KRONA;4.5;UND
08.393.837/0001-50;1387;39174090;JOELHO 45 ESGOTO SEC DN 40 KRONA ;2;UND
08.393.837/0001-50;1295;39174090;JOELHO 45 SOLD 20MM KRONA;0.5;UND
08.393.837/0001-50;1306;39174090;JOELHO 45 SOLD 32MM KRONA;2;UND
08.393.837/0001-50;1298;39174090;JOELHO 485 SOLD 32MM;2;UND
08.393.837/0001-50;744;39174090;JOELHO 90 ESG. 50 KRONA;1.6;UND
08.393.837/0001-50;1394;39174090;JOELHO 90 ESGOTO PRIM. DN 100 KRONA ;4.5;UND
08.393.837/0001-50;1392;39174090;JOELHO 90 ESGOTO PRIM. DN 50 KRONA;1.6;UND
08.393.837/0001-50;1393;39174090;JOELHO 90 ESGOTO PRIM. DN 75 KRONA ;3.5;UND
08.393.837/0001-50;1391;39174090;JOELHO 90 ESGOTO SEC. DN 40 KRONA;1.2;UND
08.393.837/0001-50;1304;39174090;JOELHO 90 RED SOLD 25 X 20MM KRONA;3.5;UND
08.393.837/0001-50;1308;39174090;JOELHO 90 RED SOLD 32 X 25 MM KRONA;2.5;UND
08.393.837/0001-50;1299;39174090;JOELHO 90 SOLD 20MM KRONA;0.5;UND
08.393.837/0001-50;1300;39174090;JOELHO 90 SOLD 25MM KRONA;0.8;UND
08.393.837/0001-50;1301;39174090;JOELHO 90 SOLD 32MM KRONA;1.5;UND
08.393.837/0001-50;1302;39174090;JOELHO 90 SOLD 40MM KRONA;2.5;UND
08.393.837/0001-50;1340;39174090;JOELHO 90 SOLD C/BUCHA LATAO 20MM X 1/2 KRONA;6;UND
08.393.837/0001-50;1341;39174090;JOELHO 90 SOLD C/BUCHA LATAO 25MM X 3/4 KRONA;1.9;UND
08.393.837/0001-50;1328;39174090;JOELHO 90 SOLD E ROSCA (LR) 25MM X 1/2 KRONA ;2;UND
08.393.837/0001-50;1327;39174090;JOELHO 90 SOLD E ROSCA (LR) 25MM X 3/4;1.5;UND
08.393.837/0001-50;1326;39174090;JOELHO 90 SOLD E ROSCA (LR)20MM X 1/2 KRONA ;1;UND
08.393.837/0001-50;1303;39174090;JOELHO 90 SOLS 50MM KRONA;2.5;UND
08.393.837/0001-50;482;39174090;JOELHO 90° DE 100MM ESGOTRO KRONA ;4.5;UND
08.393.837/0001-50;469;39174090;JOELHO 90° DE 25MM 1/2;0.5;UND
08.393.837/0001-50;474;39174090;JOELHO 90° SOLDAVEL 50 MM ;3.5;UND
08.393.837/0001-50;468;39174090;JOELHO DE  45° 20MM 1/2;1;UND
08.393.837/0001-50;701;39174090;JOELHO DE 40MM KRONA ;1.2;UND
08.393.837/0001-50;443;39174090;JOELHO LRM 20X1/2 PLASTILIT;4;UND
08.393.837/0001-50;743;39174090;JOELHO90 ESG 40MM KRONA;1.2;UND
08.393.837/0001-50;957;82029990;JOGO SERRA DE COPO 6PCS KALA;22;UND
08.393.837/0001-50;749;39174090;JUELHO 3/4 KRONA;0.8;UND
08.393.837/0001-50;799;39174090;JUELHO 3/4 LR KRONA;1.5;UND
08.393.837/0001-50;796;39174090;JUELHO DE 1/2 LL KRONA;0.5;UND
08.393.837/0001-50;797;39174090;JUELHO DE 1/2 LR KRONA;1;UND
08.393.837/0001-50;706;39174090;JUELHO DE 100MM ESGOTO;4.5;UND
08.393.837/0001-50;798;39174090;JUELHO DE 3/4 LL KRONA;0.8;UND
08.393.837/0001-50;825;39174090;JUELHO ESG 100MM KRONA;4.5;UND
08.393.837/0001-50;822;39174090;JUELHO ESG 4OMM KRONA;1.2;UND
08.393.837/0001-50;823;39174090;JUELHO ESG 50 MM KRONA;1.6;UND
08.393.837/0001-50;824;39174090;JUELHO ESG 75MM KRONA;3.5;UND
08.393.837/0001-50;800;39174090;JUELHO SOLD 32 MM LL;2;UND
08.393.837/0001-50;801;39174090;JUELHO SOLD 32 MM LR;2.5;UND
08.393.837/0001-50;802;39174090;JUELHO SOLD 40MM ;2.5;UND
08.393.837/0001-50;803;39174090;JUELHO SOLD 50MM;5.5;UND
08.393.837/0001-50;392;39169090;JUNTA DILATAÇÃO PISO 08X3.5/2M;2;UND
08.393.837/0001-50;1524;84819090;KIT ACABAMENTO;21;UND
08.393.837/0001-50;1498;83021000;KIT DOBRADIÇA SIMPLES;9.5;UND
08.393.837/0001-50;395;73249000;KIT P/BANHEIRO METAl talita;45;UND
08.393.837/0001-50;466;85381000;KIT P/MEDIÇÃO MONOFASICA C/JANELA TAF ;45;UND
08.393.837/0001-50;1083;85393100;LAMAPADA PHILIPS 220V 14W;10;UND
08.393.837/0001-50;575;85393100;LAMPADA FLC 15W 220V LUZ BANCA ;9;UND
08.393.837/0001-50;572;85392200;LAMPADA FLC 220V 20W LUZ BRANCA ;11;UND
08.393.837/0001-50;1037;85393100;LAMPADA FLUORECENTE  T10 20W 25X1;8.5;UND
08.393.837/0001-50;1045;85393100;LAMPADA FLUORESCENTE 40W;8.5;UND
08.393.837/0001-50;1489;85393100;LAMPADA FORLUX ;10;UND
08.393.837/0001-50;573;85437099;LAMPADA HOMELED  9W 6500K 220V ;16;UND
08.393.837/0001-50;574;84393100;LAMPADA LED NEOTRON 11W 220V ;13.5;UND
08.393.837/0001-50;594;85437099;LAMPADA LED PHLIPS 7W ;13;UND
08.393.837/0001-50;1084;85393100;LAMPADA PHILIPS 220V 18W 3U;12;UND
08.393.837/0001-50;381;96091000;LAPIS CARPINTEIRO EHC ;2;UND
08.393.837/0001-50;402;96091000;LAPIS CARPINTEIRO THOMPSON ;2;UND
08.393.837/0001-50;866;68109900;LAVANDERIA CER SINTETICA 1,20 ;85;UND
08.393.837/0001-50;865;68109900;LAVANDERIA CER SINTETICA 80CM;55;UND
08.393.837/0001-50;863;68109900;LAVANDERIA DE MARMORE SINTETICO 0,80CM;60;UND
08.393.837/0001-50;862;68109900;LAVANDERIA MARMORE SINTETICO 1,00 METRO;75;UND
08.393.837/0001-50;868;68109900;LAVANDERIA SINT DE MARMORE 3 CUBAS ;120;UND
08.393.837/0001-50;867;68109900;LAVANDERIA SINTETICO MARMORE 1,50;90;UND
08.393.837/0001-50;1059;68022300;LAVATORIO COM COLUNA;130;UND
08.393.837/0001-50;1409;39221000;LAVATORIO KRONA-BRANCO 36X26 CM ;25;UND
08.393.837/0001-50;1185;69109000;LAVATORIO SUSPENSO DECA JADE BRANCO;50;UND
08.393.837/0001-50;732;82031010;LIMA KF ENXADA 8 POLEG. C /CABO;15;UND
08.393.837/0001-50;958;54041990;LINHA DE PEDREIRO NYLON BR 0,80X100M TREVO;11;UND
08.393.837/0001-50;447;54041990;LINHA PEDEIRO NYLON BR 0,80X100M TREVO;11;UND
08.393.837/0001-50;444;56040909;LINNHA DE PEDEIRO LISA 100M WORKER;6;UND
08.393.837/0001-50;1007;68052000;LIXA 3M D'AGUA 401Q 2000 50X1;4;UND
08.393.837/0001-50;1011;68051000;LIXA 3M FERRO 100 50X1;2.5;UND
08.393.837/0001-50;1012;68051000;LIXA 3M FERRO 120 ;2.5;UND
08.393.837/0001-50;1013;68051000;LIXA 3M FERRO 150 50X1;2.5;UND
08.393.837/0001-50;1014;68051000;LIXA 3M FERRO 180;2.5;UND
08.393.837/0001-50;1015;68051000;LIXA 3M FERRO 220 50X1;2.5;UND
08.393.837/0001-50;1008;68051000;LIXA 3M FERRO 50;2.5;UND
08.393.837/0001-50;1009;68051000;LIXA 3M FERRO 60 ;2.5;UND
08.393.837/0001-50;1010;68051000;LIXA 3M FERRO 80 50X1;2.5;UND
08.393.837/0001-50;1017;68052000;LIXA 3M MASSA 100 50X1;0.8;UND
08.393.837/0001-50;1018;68052000;LIXA 3M MASSA 120 50X1;0.8;UND
08.393.837/0001-50;1019;68052000;LIXA 3M MASSA 150 50X1;0.8;UND
08.393.837/0001-50;1016;68052000;LIXA 3M MASSA 80 50X1;0.8;UND
08.393.837/0001-50;543;68052000;LIXA D/FERRO TRIONTE K200  TATU N° 36;2.5;UND
08.393.837/0001-50;545;68052000;LIXA D'AGUA 3M 225MMX275MM N° 120;2.5;UND
08.393.837/0001-50;448;68052000;LIXA D'AGUA 600 225X275 WORKER;4;UND
08.393.837/0001-50;449;68052000;LIXA D'AGUA 80 225X275 WORKER;2.5;UND
08.393.837/0001-50;547;68052000;LIXA D'AGUA BESTFER 225MMX275MM N°360;2.5;UND
08.393.837/0001-50;959;68052000;LIXA DÀGUA GR 180 WORKER ;2.5;UND
08.393.837/0001-50;542;68052000;LIXA D'AGUA P/PINTURA PRIME E VERNIZ 600;4;UND
08.393.837/0001-50;541;68052000;LIXA D'AGUA P/PINTURA PRIME E VERNIZES 80;2.5;UND
08.393.837/0001-50;961;68051000;LIXA DE FERRO GR 50;2.5;UND
08.393.837/0001-50;960;68051000;LIXA FERRO GR 36 WOKER;2.5;UND
08.393.837/0001-50;540;68052000;LIXA MASSA , ALVENARIA E MADEIRA 225MMX275MM;0.8;UND
08.393.837/0001-50;450;68052000;LIXA MASSA MADEIRA 100 225X275 WORKER;0.8;UND
08.393.837/0001-50;451;68052000;LIXA MASSA MADEIRA 120 225X275 WORKER;0.8;UND
08.393.837/0001-50;452;68052000;LIXA MASSA MADEIRA 150 225X275 WORKER;0.8;UND
08.393.837/0001-50;453;68052000;LIXA MASSA MADEIRA 80 225X275 WORKER;0.8;UND
08.393.837/0001-50;962;68052000;LIXA MASSA MADEIRA GR 100;0.8;UND
08.393.837/0001-50;963;68052000;LIXA MASSA MADEIRA GR 120;0.8;UND
08.393.837/0001-50;964;68052000;LIXA MASSA MADEIRA GR150 WORKER;0.8;UND
08.393.837/0001-50;965;68052000;LIXA MASSA MADEIRA GR180 WORKER;0.8;UND
08.393.837/0001-50;966;68052000;LIXA MASSA MADEIRA GR50 WORKER;0.8;UND
08.393.837/0001-50;967;68052000;LIXA MASSA MADEIRA GR60;0.8;UND
08.393.837/0001-50;968;68052000;LIXA MASSA MADEIRA GR80;0.8;UND
08.393.837/0001-50;1020;68052000;LIXA NORTON D'ÁGUA G1200 50X1;4;UND
08.393.837/0001-50;1021;68052000;LIXA NORTON D'ÁGUA G400 50X1;2.5;UND
08.393.837/0001-50;1027;68052000;LIXA NORTON D'ÁGUA G600 50X1;4;UND
08.393.837/0001-50;546;68052000;LIXA P/FERRO 225MMX275MM TATU N°120;2.5;UND
08.393.837/0001-50;389;39259090;LONA PRETA 04X100;5.5;UND
08.393.837/0001-50;1195;39202019;LONA PRETA MAXLONA 4X100;6;MTS
08.393.837/0001-50;1239;39174090;LUA RED. LONGA 25X20;1;UND
08.393.837/0001-50;396;39174090;LUVA DE CORRE 20MM 1/2;6;UND
08.393.837/0001-50;398;39174090;LUVA DE CORRE P/TUPO 25MM ;7;UND
08.393.837/0001-50;820;39174090;LUVA DE CORRER 3/4;7;UND
08.393.837/0001-50;821;39174090;LUVA DE CORRER 32 MM;8;UND
08.393.837/0001-50;1316;39174090;LUVA DE CORRER P/ TUBO SOLD 32MM KRONA;11;UND
08.393.837/0001-50;1314;39174090;LUVA DE CORRER P/TUBO SOLD 20MM KRONA ;5;UND
08.393.837/0001-50;1315;39174090;LUVA DE CORRER P/TUBO SOLD 25MM KRONA;6;UND
08.393.837/0001-50;1317;39174090;LUVA DE CORRER P/TUBO SOLD 40 MM KRONA;13;UND
08.393.837/0001-50;1318;39174090;LUVA DE CORRER P/TUBO SOLD 50MM KRONA;15;UND
08.393.837/0001-50;918;39174090;LUVA DE ELETRODUTO 20MM;0.5;UND
08.393.837/0001-50;1189;39174090;LUVA DE ESG CORPLASTIC 100MM;4.5;UND
08.393.837/0001-50;1281;40151900;LUVA DE LATEX;4.5;UND
08.393.837/0001-50;1240;39174090;LUVA DE RED.LONGA 32X25 KRONA;1.5;UND
08.393.837/0001-50;1237;39174090;LUVA ESG.KRONA 40MM;1.2;UND
08.393.837/0001-50;1238;39174090;LUVA ESG.KRONA 50MM;1.6;UND
08.393.837/0001-50;1236;39174090;LUVA ESGOT. KRONA 100MM ;4;UND
08.393.837/0001-50;1400;39174090;LUVA ESGOTO PRIM. DN 100 KRONA;4.5;UND
08.393.837/0001-50;1396;39174090;LUVA ESGOTO PRIM. DN 50 KRONA;0;UND
08.393.837/0001-50;1397;39174090;LUVA ESGOTO PRIM. DN 75 KRONA ;2.5;UND
08.393.837/0001-50;1395;39174090;LUVA ESGOTO SEC. DN 40 KRONA;1.2;UND
08.393.837/0001-50;1028;39174090;LUVA KRONA 25MM;0.5;UND
08.393.837/0001-50;670;39174090;LUVA LL 3/4 KRONA ;0.8;UND
08.393.837/0001-50;919;39174090;LUVA PARA ELETRODUTO 25MM;0.8;UND
08.393.837/0001-50;1319;39174090;LUVA RED SOLD 25 X 20MM KRONA;1;UND
08.393.837/0001-50;1320;39174090;LUVA RED SOLD 32 X 25 MM KRONA;2;UND
08.393.837/0001-50;819;39174090;LUVA SOLD  CORRE DE 1/2;0;UND
08.393.837/0001-50;1309;39174090;LUVA SOLD 20MM KRONA;0.5;UND
08.393.837/0001-50;1310;39174090;LUVA SOLD 25MM KRONA;0.8;UND
08.393.837/0001-50;817;39174090;LUVA SOLD 3/4 LR;1.5;UND
08.393.837/0001-50;1311;39174090;LUVA SOLD 32MM KRONA ;1.5;UND
08.393.837/0001-50;818;39174090;LUVA SOLD 32MM LR;2.5;UND
08.393.837/0001-50;1312;39174090;LUVA SOLD 40MM KRONA;2;UND
08.393.837/0001-50;1313;39174090;LUVA SOLD 50MM KRONA;3;UND
08.393.837/0001-50;1345;39174090;LUVA SOLD C/BUCHA LATAO 25MM X 1/2 KRONA;5;UND
08.393.837/0001-50;1343;39174090;LUVA SOLD C/BUCHA LATAO 25MM X 3/4;5;UND
08.393.837/0001-50;1342;39174090;LUVA SOLD C/BUCHA LATAO X 1/2;4;UND
08.393.837/0001-50;811;39174090;LUVA SOLD DE 1/2 LL;0.5;UND
08.393.837/0001-50;812;39174090;LUVA SOLD DE 3/4 LL;0.8;UND
08.393.837/0001-50;813;39174090;LUVA SOLD DE 32 MM LL;2;UND
08.393.837/0001-50;814;39174090;LUVA SOLD DE 40 MM LL;3;UND
08.393.837/0001-50;815;39174090;LUVA SOLD DE 50MM LL;3.5;UND
08.393.837/0001-50;1089;39174090;LUVA SOLD DE 60 MM;8;UND
08.393.837/0001-50;1331;39174090;LUVA SOLD E ROSCA (LR) 20MM X 1/2 KRONA;1;UND
08.393.837/0001-50;1332;39174090;LUVA SOLD E ROSCA (LR) 25MM X 3/4 KRONA;1.5;UND
08.393.837/0001-50;1335;39174017;LUVA SOLD E ROSCA (LR) 40MM X 1.1/4 KRONA ;4;UND
08.393.837/0001-50;1333;39174090;LUVA SOLD E ROSCA (LR)25MM X 1/2 KRONA;0.8;UND
08.393.837/0001-50;1334;39174090;LUVA SOLD E ROSCA (LR)32MM X 1;2.5;UND
08.393.837/0001-50;1336;39174090;LUVA SOLD E ROSCA (LR)50MM X 1.1/2;10;UND
08.393.837/0001-50;816;39174090;LUVA SOLD LR DE 1/2;1;UND
08.393.837/0001-50;483;39174090;LUVA SOLDAVEL 50MM KRONA ;3.49;UND
08.393.837/0001-50;539;84661000;MANDRIL E CHAVE 1/2 13MM DEWALT;15;UND
08.393.837/0001-50;1126;59090000;MANGUEIRA CRISTAL 3/4;3;MT
08.393.837/0001-50;1127;59090000;MANGUEIRA CRISTAL DE 1/2 ;2;METRO
08.393.837/0001-50;1117;39173900;MANGUEIRA DE JARDIM;16;UND
08.393.837/0001-50;1039;59090000;MANGUEIRA DE NIVEL;1;METRO
08.393.837/0001-50;595;39173900;MANGUEIRA JARDIM IBIRA TRANC 10M;25;UND
08.393.837/0001-50;1429;59090000;MANGUEIRA PARA GÁS;7.5;UND
08.393.837/0001-50;388;68071000;MANTA ASFALTICA  20CM ;11.5;METRO
08.393.837/0001-50;1149;68071000;MANTA ASFALTICA 10CM;7.5;METRO
08.393.837/0001-50;1192;68071000;MANTA ASFALTICA DENVER 10CMX10MTS;7.5;UND
08.393.837/0001-50;887;38099149;MANTA LIQ IMPERMEABILIZANTE VEDA NOVO;30;UND
08.393.837/0001-50;888;38099149;MANTA LIQ IMPERMIABILIZANTE REJUNTAMIX;20;UND
08.393.837/0001-50;889;38099149;MANTA LIQ IMPERMIABILIZANTE VEDE MAIS ;35;UND
08.393.837/0001-50;1113;38099149;MANTA LIQ. IMPERMIABILIZADORA VEDA NOVO REJUNTAMIX;20;UND
08.393.837/0001-50;690;94032000;MÃO FRANCESA DE 25CM;9.5;PAR
08.393.837/0001-50;1139;76169900;MÃO FRANCESA DE FERRO 20 CM;9;UND
08.393.837/0001-50;1140;76169900;MÃO FRANCESA DE FERRO 25CM;9;UND
08.393.837/0001-50;1141;76169900;MÃO FRANCESA DE FERRO 30CM;12;UND
08.393.837/0001-50;1142;76169900;MÃO FRANCESA DE FERRO 40CM;25;UND
08.393.837/0001-50;1143;76169900;MÃO FRANCESA DE FERRO 45CM;30;UND
08.393.837/0001-50;727;82052000;MARRETA 1KG C/C ;22;UND
08.393.837/0001-50;1207;82052000;MARRETA C/CABO 1,0KG METAL SUL;12;UND
08.393.837/0001-50;1196;82052000;MARRETA COM CABO 1,0 KG TENACE;15;UND
08.393.837/0001-50;1159;82052000;MARRETA DE 1KG C/CABO TRAM.;25;UND
08.393.837/0001-50;728;82052000;MARRETA MONF C/C 500G;15;UND
08.393.837/0001-50;1188;82052000;MARTELO BORRACHA TOMPSON PRETO 40MM;6.5;UND
08.393.837/0001-50;597;40170000;MARTELO MAMFORT  BORRACHA 40MM 6X1 ;8;UND
08.393.837/0001-50;598;82052000;MARTELO TRAMONTINA MASTER ;23;UND
08.393.837/0001-50;614;32141020;MASSA CORRIDA BD 27KG;35;UND
08.393.837/0001-50;1443;32141010;MASSA DUREPOX 100G;6.5;UND
08.393.837/0001-50;1442;32141010;MASSA DUREPOX 50G;4.5;UND
08.393.837/0001-50;599;32141010;MASSA PLASTICA IBERE CINZA ;8.5;UND
08.393.837/0001-50;1029;32141010;MASSA PLASTICA INBERÊ CINZA 12X400;8.5;UND
08.393.837/0001-50;1187;0;MASSA PLASTICA NATRIELLI 400G;7.5;UND
08.393.837/0001-50;1088;39249000;MASSEIRA DE PLASTICO ;10;UND
08.393.837/0001-50;661;25059000;MEIA CARRADA DE AREIA GROSSA ;165;UND
08.393.837/0001-50;660;25059000;MEIA CARRADA DE AREIA MEDIA;150;UND
08.393.837/0001-50;1411;39174090;MULTISIFAO DUPLO (TUBO EXTENSIVEL) KRONA ;12;UND
08.393.837/0001-50;1410;39174090;MULTISIFAO SIMPLES (TUBO EXTENSIVEL) KRONA;6;UND
08.393.837/0001-50;1097;72142000;NERVURA 1,00 MT;7.5;UND
08.393.837/0001-50;1042;72142000;NERVURA 1,20;9;UND
08.393.837/0001-50;1099;72142000;NERVURA 1.40 MT;10.5;UND
08.393.837/0001-50;1100;72142000;NERVURA 1.50 MT;11.25;UND
08.393.837/0001-50;1101;72142000;NERVURA 1.60;12;UND
08.393.837/0001-50;1102;72142000;NERVURA 1.70;12.75;UND
08.393.837/0001-50;1103;72142000;NERVURA 1.80;13.5;UND
08.393.837/0001-50;1104;72142000;NERVURA 1.90;14.25;UND
08.393.837/0001-50;1105;72142000;NERVURA 2,00 MT;15;UND
08.393.837/0001-50;1107;72142000;NERVURA 2,70;20.25;UND
08.393.837/0001-50;1106;72142000;NERVURA 2.50;18.75;UND
08.393.837/0001-50;1098;72142000;NERVURA1.30 MT;9.75;UND
08.393.837/0001-50;1367;39172300;NIPEL ROSCAVEL 1/2 KRONA;0.7;UND
08.393.837/0001-50;1368;39172300;NIPEL ROSCAVEL 3/4 KRONA;1;UND
08.393.837/0001-50;729;90153000;NIVEL DE ALUMINIO STARFER 14;12;UND
08.393.837/0001-50;1486;76042920;NIVEL DE ALUMINIO STARFER 14;12;UND
08.393.837/0001-50;454;82011000;PA BICO VIAT COM CB Y PLASTICO VIAT;25;UND
08.393.837/0001-50;1157;82011000;PÁ QUADRADA C/CABO TRAM.;25;UND
08.393.837/0001-50;446;82011000;PA QUADRADA VIAT COM CB Y PLASTICO VIAT;25;UND
08.393.837/0001-50;1271;76152000;PAPELEIRA COMPLETA;12;UND
08.393.837/0001-50;1516;76152000;PAPELEIRA COMPLETA;14;UND
08.393.837/0001-50;1112;39269090;PARAFUSO  SAN.;4.5;UND
08.393.837/0001-50;613;73181500;PARAFUSO P/BUCHA 10MM ;0.4;UND
08.393.837/0001-50;612;73181500;PARAFUSO P/BUCHA 12MM;0.5;UND
08.393.837/0001-50;611;73181500;PARAFUSO P/BUCHA 6MM;0.2;UND
08.393.837/0001-50;610;73181500;PARAFUSO P/BUCHA 8MM ;0.25;UND
08.393.837/0001-50;1508;39172900;PASSADOR DE FIO 15 METROS;12;UND
08.393.837/0001-50;698;68022100;PEDRA MARUADA  MEIA CARRADA ;200;UND
08.393.837/0001-50;1497;96040000;PENEIRA G;15;UND
08.393.837/0001-50;1495;96040000;PENEIRA G;15;UND
08.393.837/0001-50;859;68109900;PIA DE COZINHA 1,00 METRO;55;UND
08.393.837/0001-50;860;68109900;PIA DE COZINHA 1,20 METROS;70;UND
08.393.837/0001-50;861;68109900;PIA DE COZINHA 1,50 METROS;75;UND
